age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,558,7.461558930937789e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,223,2.9819491784930594e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,633,8.464456636708997e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,141,1.8854476868498715e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,718,9.601074036583034e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,127,1.6982401151059126e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,629,8.410968759067867e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,69,9.226658893095117e-5
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,828,0.001107199067171414
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,57,7.622022563861182e-5
