age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,610,8.156901340272494e-4
0 to 29 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,45,6.0173862346272496e-5
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,225,3.008693117313625e-4
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,30,4.011590823084833e-5
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,392,5.241812008830849e-4
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,54,7.220863481552699e-5
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,450,6.01738623462725e-4
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,35,4.680189293598972e-5
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,371,4.961000651214911e-4
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,12,1.6046363292339332e-5
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,226,3.0220650867239073e-4
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,13,1.738356023336761e-5
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,84,1.1232454304637533e-4
0 to 29 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,442,5.910410479344988e-4
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,117,1.564520421003085e-4
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,616,8.23713315673419e-4
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,86,1.1499893692843188e-4
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,636,8.504572544939846e-4
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,90,1.2034772469254499e-4
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,716,9.574330097762468e-4
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,59,7.889461952066839e-5
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,846,0.001131268612109923
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,51,6.819704399244216e-5
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,765,0.0010229556598866324
0 to 29 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,39,5.215068070010283e-5
0 to 29 years,Female,Quebec,Bachelor's degree,"Less than $25,000",Born in Canada,254,3.396480230211825e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"Less than $25,000",Born outside Canada,156,2.0860272280041133e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$25,000 to $49,999",Born in Canada,327,4.3726339971624683e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,106,1.4174287574899745e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$50,000 to $74,999",Born in Canada,325,4.3458900583419026e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,81,1.083129522232905e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$75,000 to $99,999",Born in Canada,313,4.1854264254185094e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,57,7.622022563861182e-5
0 to 29 years,Female,Quebec,Bachelor's degree,"$10,000 to $149,999",Born in Canada,446,5.963898356986119e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,41,5.482507458215939e-5
0 to 29 years,Female,Quebec,Bachelor's degree,"$150,000 and more",Born in Canada,353,4.7203052018298205e-4
0 to 29 years,Female,Quebec,Bachelor's degree,"$150,000 and more",Born outside Canada,25,3.3429923525706946e-5
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,46,6.151105928730078e-5
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,82,1.0965014916431878e-4
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,82,1.0965014916431878e-4
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,58,7.75574225796401e-5
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,101,1.3505689104385604e-4
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,49,6.552265011038561e-5
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,101,1.3505689104385604e-4
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,33,4.412749905393317e-5
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,143,1.9121916256704372e-4
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,15,2.0057954115424164e-5
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,125,1.6714961762853472e-4
0 to 29 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,12,1.6046363292339332e-5
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,709,9.480726311890489e-4
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,266,3.5569438631352185e-4
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,1023,0.001367952470671928
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,317,4.23891430305964e-4
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,1009,0.001349231713497532
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,247,3.302876444339846e-4
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,861,0.001151326566225347
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,168,2.2464908609275066e-4
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,1306,0.0017463792049829307
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,158,2.112771166824679e-4
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,1493,0.001996435032955219
0 to 29 years,Female,Ontario,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,137,1.8319598092087405e-4
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,1172,0.0015671948148851414
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,783,0.0010470252048251415
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,1324,0.0017704487499214396
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,477,6.378429408704885e-4
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,1204,0.0016099851169980464
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,398,5.322043825292546e-4
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,1065,0.0014241147421951157
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,281,3.75752340428946e-4
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,1611,0.002154224271996555
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,312,4.1720544560082265e-4
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,2030,0.0027145097902874036
0 to 29 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,244,3.2627605361089975e-4
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,48,6.418545316935733e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,24,3.2092726584678664e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,67,8.95921950488946e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,20,2.6743938820565553e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,64,8.558060422580977e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,7,9.360378587197945e-6
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,57,7.622022563861182e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,9,1.20347724692545e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,53,7.087143787449872e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,40,5.348787764113111e-5
0 to 29 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,7,9.360378587197945e-6
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,539,7.207491512142417e-4
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,273,3.650547649007198e-4
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,875,0.001170047323399743
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,279,3.7307794654688946e-4
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,757,0.0010122580843584061
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,169,2.2598628303377894e-4
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,706,9.440610403659641e-4
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,160,2.1395151056452443e-4
0 to 29 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,1006,0.0013452201226744475
